hotel_id,review_id,author_name,rating,text,publish_time,relative_time
ahm001,ahm001_r1,NARESH,5,"The Taj Skyline Hotel in Ahmedabad is truly a gem! From the moment I stepped into the lobby, I knew I was in for a treat. The stunning architecture, impeccable decor, and warm hospitality set the tone for a fantastic stay.

The rooms were spacious, elegant, and meticulously maintained, offering breathtaking views of the city. The amenities were top-notch, with a fantastic fitness center, an inviting pool, and exceptional dining options.

The service was outstanding – the staff were attentive, friendly, and went above and beyond to ensure my needs were met. Whether it was a quick check-in or a special request, they made everything seamless.

The hotel's location is also noteworthy, providing easy access to key attractions and business hubs. I appreciated the thoughtful touches throughout the property, from the beautifully landscaped gardens to the carefully curated artwork.

Overall, my stay at the Taj Skyline was nothing short of exceptional. It's an ideal choice for both business travelers and those seeking a luxurious getaway. I would highly recommend it to anyone looking for a memorable experience in Ahmedabad.",2025-06-27T03:06:38.086199416Z,2 months ago
ahm001,ahm001_r2,Sandeep Sagar,5,"Taj Skyline Ahmedabad truly lives up to the reputation of the Taj brand. From the moment I entered, the staff made me feel warmly welcomed and well taken care of. The rooms are spacious, elegantly designed, and offer stunning views of the city skyline.

The dining experience was a highlight — especially the breakfast buffet, which had a wide variety of Indian and continental options, all fresh and delicious. The spa and fitness center are also top-notch, offering a relaxing escape after a long day.

The location is ideal for both business and leisure, with easy access to major areas of the city. Whether you're staying for a night or a week, Taj Skyline ensures you experience hospitality at its finest. Highly recommended!",2025-07-08T06:03:22.029091332Z,2 months ago
ahm001,ahm001_r3,Ayushi,5,"I had an amazing stay at Taj Skyline, Ahmedabad during my holiday!

The rooms were exceptionally clean, spacious, and beautifully designed with great attention to detail. The service was outstanding—every staff member was courteous, attentive, and went above and beyond to make our stay comfortable.

The location is perfect, close to major attractions yet peaceful enough to relax.

Highly recommend for a luxurious and relaxing stay in Ahmedabad. Will definitely return!",2025-07-09T04:59:01.853677727Z,2 months ago
ahm001,ahm001_r4,Shourya Chauhan,5,"I had a wonderful stay at Taj Skyline, Ahmedabad. The rooms were spacious, clean, and beautifully designed with a touch of luxury. The staff was extremely polite and professional—always ready to help with a smile. Special thanks to the front desk and housekeeping for their prompt service.

The breakfast buffet was absolutely amazing with a wide variety of delicious options. The ambience of the hotel—from the lobby to the dining areas—was elegant and peaceful. Also loved the pool and gym facilities, which were very well maintained.

Whether you're visiting for business or leisure, I highly recommend this hotel. It truly lives up to the Taj brand name in terms of comfort, class, and hospitality. Will definitely stay here again!",2025-07-07T09:47:35.699188093Z,2 months ago
ahm001,ahm001_r5,Sachin G,5,"We checked into this hotel to kick off our vacation, with assistance from Jaya. Coming from North America, we had high expectations for a comfortable stay—and we're happy to say those expectations were fully met. We enjoyed a wide variety of food, including delicious local Gujarati cuisine, and received all the essentials right upon arrival, including complimentary tea, coffee, and light snacks in our rooms.
Our overall experience was excellent, and I'm pleased to share this with future travelers. My kids even picked up some lovely souvenirs during checkout, adding a special touch to our stay.
I highly recommend this hotel to fellow North Americans and Overseas Citizens of India. It's located in a prime area of Ahmedabad, and you won’t be disappointed.",2025-06-30T04:51:13.512102048Z,2 months ago
ahm002,ahm002_r1,Chiru Sheth,5,"Staying at ITC Narmada was a truly memorable experience. The hotel offers a perfect mix of traditional charm and modern luxury. The staff was incredibly polite and professional, always ready to assist with a warm smile. My room was spacious, spotless, and tastefully decorated with a calming vibe. The dining experience was fantastic, with a wide variety of delicious dishes served in beautifully designed restaurants. The attention to detail, cleanliness, and overall atmosphere made my stay feel special and relaxing. I would happily return and highly recommend it to others visiting Ahmedabad.",2025-07-16T11:24:35.752046330Z,a month ago
ahm002,ahm002_r2,vikas parmar,5,"I recently visited ITC Narmada - The Luxury Collection in Ahmedabad with a friend, and it was a wonderful experience. The hotel is top-notch, offering luxury and comfort in every aspect. The service was outstanding — the staff were highly professional and ensured our stay was both comfortable and enjoyable.

One unique and convenient feature of this hotel is the in-house liquor shop. Since liquor purchase in Gujarat requires a permit, the hotel assists guests by providing a letter which helps in obtaining a liquor permit easily. This makes it one of the few hassle-free options for buying liquor in Ahmedabad.

Overall, highly recommended for both business and leisure stays!",2025-07-31T08:28:11.181031689Z,a month ago
ahm002,ahm002_r3,Manthan,5,"My stay at ITC Narmada was nothing short of exceptional. From the moment I stepped into the grand lobby, I was impressed by the hotel’s elegance, attention to detail, and warm hospitality. The staff were incredibly courteous and professional, ensuring every need was met with a smile.

The rooms are beautifully designed—spacious, immaculately clean, and infused with a sense of calm luxury. Dining at the hotel was a delightful experience; each restaurant offered a unique culinary journey, with impeccable service and exquisite flavors that celebrated the rich heritage of Gujarat and beyond.

What truly sets ITC Narmada apart is its perfect blend of traditional Indian charm and modern sophistication. Every aspect of the hotel, from the thoughtful amenities to the serene ambience, reflects ITC’s commitment to excellence and sustainability.

A heartfelt thank you to the entire team for making my stay so memorable. I look forward to returning soon!",2025-07-14T11:10:12.470078008Z,a month ago
ahm002,ahm002_r4,"Bollywood,history and facts",5,"I had a wonderful stay at ITC Narmada – the hotel truly lives up to its reputation for luxury and hospitality. The architecture is stunning, inspired by Gujarat’s rich heritage, and the interiors are equally elegant. The rooms were spacious, clean, and very comfortable, with all modern amenities thoughtfully provided. The staff was extremely courteous, attentive, and made sure every need was taken care of with a smile. Dining at their restaurants was a delightful experience – the food was flavorful, fresh, and beautifully presented. Whether for business or leisure, ITC Narmada is a perfect choice in Ahmedabad. I look forward to staying here again.",2025-07-16T11:03:10.206175522Z,a month ago
ahm002,ahm002_r5,Nikhil Datta,4,"It's a great value for money standards of a 5 Star at the price of a 4 Star hotel. Lobby is unique and impressive. Rooms are well appointed. Dinner at the speciality restaurant Peshawari was an experience that was somewhat spoiled by the noisy groups who were not urged by the staff to maintain decency in the restaurant. Coffee shop was the only negative in the hotel, the staff is too casual and breakfast buffet is not upto the mark.",2025-07-02T14:39:29.041927848Z,2 months ago
ahm003,ahm003_r1,tanusree dutta,5,"Wonderful place to be if you are looking for hospitality,  care and love. We have stayed here several times and each time the experience just seems getting better and better. The manager, the staff and every other person is just round there to make your stay wonderful. Thank a million to the team. Will keep coming back. You truly define hospitality at a very different level. Happy to be a guest at your hotel",2025-08-23T04:53:48.623074673Z,2 weeks ago
ahm003,ahm003_r2,Karan,5,"Fantastic Service, Beautiful Lobby, friendliest Staff and Great Food what more can you ask for. It was a great experience in every aspect. The rooms were very clean. The staff is very respectful. And the food and amenities are really good. Social Thanks For Aniket It's Person Is Really Good and Hard Worker  In Our Field.",2025-07-31T11:55:35.755213516Z,a month ago
ahm003,ahm003_r3,Mp Desai,4,"I had a wonderful experience at this hotel. The rooms were clean, spacious, and well-maintained. The staff was extremely polite and responsive to any request. The
food was delicious and the breakfast buffet had good variety. The location is central, making it easy to get around. Would definitely stay here again!""",2025-07-15T12:29:10.090745045Z,a month ago
ahm003,ahm003_r4,Vraj Bhoir,5,"I had a pleasant stay at this hotel. The rooms were clean and comfortable, and the location was very convenient for nearby attractions. A special thanks to Ms. Saloni Bhoir from the staff for her polite and helpful nature—she made the stay even more comfortable. The food quality was good, and the overall ambiance was relaxing. I would definitely recommend this hotel for a hassle-free experience.”",2025-08-20T07:13:24.197809486Z,2 weeks ago
ahm003,ahm003_r5,Devendra Singh Devra,5,"An absolutely luxurious stay! The impressive facilities truly made the experience unforgettable. The well-equipped gym was perfect for morning workouts, while the swimming pool offered a refreshing escape. The spa services were top-notch, adding a relaxing touch to the whole stay. Highly recommended for anyone seeking comfort and class.",2025-08-01T09:02:09.397815901Z,a month ago
ahm004,ahm004_r1,NEHA JAISWAL,5,"Amazing Food and Hospitality!

I had a wonderful experience with the food and hospitality at the hotel. Gita and the entire staff were extremely supportive and welcoming. Even during my fasting days, they thoughtfully arranged special food, which I truly appreciated. On another occasion, I returned to the hotel around 11 PM after traveling, and they still managed to provide a delicious meal. Their dedication and care made my stay very comfortable. Thank you for going above and beyond!",2025-08-03T07:14:25.436454317Z,a month ago
ahm004,ahm004_r2,rohit khurana,5,"I’m truly delighted with the integrity and professionalism of the housekeeping team.
I had misplaced my gold ring in the room and realized it only a couple of hours later. I immediately called the hotel to request that no one enter the room until I returned. To my surprise, the room had already been cleaned and the gold ring was safely placed within the room by the housekeeping staff. I have no words to express my gratitude for their honesty and diligence.

Additionally, the service at the restaurant was equally commendable. The young team managed everything efficiently, with warmth and professionalism. Overall, a truly reassuring and pleasant experience.
Thank you!",2025-08-02T05:33:43.282588631Z,a month ago
ahm004,ahm004_r3,Arvind Bhat,4,"First the good points- Full mark for service & hospitality. The dining service and the front desk service goes all the way to serve customers needs. They are truly exceptional and are a great example of Indian hospitality.

However the rooms and the general lack of up keeping is what let's the hotel down. The lower floor rooms are very dated and in need to maintenance. During the course of 3 days stay we changed 3 rooms due to problems in room cleanliness, ac issue, etc. Biggest concern is that the rooms in 9th floor all have ac condensation issues and you end up with wet and sticky floors all the time. The other issue around general cleanliness and maintenance is obvious- rooms have mould, chipped wooden fixtures, rusted door frames, etc. Even the lifts are outdated with broken/ rusted panel board.
While these issues can easily be ignored in a 3 star or even 4 star hotel, this is not acceptable in a hotel advertising themselves as a 5 star. Additionally I have never seen a 5 star hotel that don't provide amenities like hair dryer as part of standard bathroom fixtures or have concierge or travel assistance services.

Overall my stay was made memorable only by the service of staff and I am not impressed by hotel amenities in any way. Come up with expectation of a 4 star hotel and you will be satisfied.",2025-08-17T08:07:19.833802937Z,3 weeks ago
ahm004,ahm004_r4,Mohd Aslam,5,"I had the pleasure of staying at Welcomhotel by ITC Hotels for the past 7 days, and my experience has been excellent. The hotel offers a perfect combination of comfort, cleanliness, and warm hospitality that truly reflects ITC’s standards.

I would like to extend my special thanks to Mr. Mushtafa Khan, Restaurant Manager, for his outstanding service and professionalism. His attention to detail, courteous approach, and dedication to guest satisfaction ensured that every dining experience was seamless and memorable. Under his leadership, the restaurant team delivered exceptional service throughout my stay.

Overall, my time at Welcomhotel was highly enjoyable, and I would not hesitate to recommend this property to others. I look forward to returning in the future.",2025-08-28T14:59:11.144823071Z,a week ago
