hotel_id,review_id,author_name,rating,text,publish_time,relative_time
che001,che001_r1,Aishwarya Acharya,4,"Stayed @ ITC Grand Chola for 4N/5D during July 2025 while on a business trip to Chennai.

Impressed by the grand architecture, property amenities (600+ rooms, services apartments, many restaurants with specialised cuisine, swimming pool, spa, lounge, wellness centre / gym, etc.), sprawling lawns, spacious rooms, artisanal ice-cream place, fabelle chocolates store and courteous staff!
There were multiple specialty restaurants from Indian to Pan Asian, Indian, Italian, and more.

On all the 5 days, the breakfast buffet was a highlight-lavish, well-balanced with South/North Indian and Western options. The dinner spread, while decent, leaned more heavily on Indian options.

One suggestion: While items are clearly labelled with allergen info, I expected clearer separation between vegetarian and non-vegetarian items, especially for people with allergies. For instance, pancakes (with egg) and eggless waffles were placed side by side, with a shared serving tong - increases cross contamination risks. As someone with a severe egg allergy, this was very concerning for me. While the staff always prepared fresh waffles for me on request, the arrangement / layout of dishes didnt change over the 5 days I had breakfast - i expect better allergen awareness and caution from a luxury property.

Special mention to Sayantan @ front desk for a smooth experience, Susmita for her personal touch / calls about my experience, Abhisek who served us (during dinner on 7/10). Thanks team!

Overall, it was a memorable stay - but a bit more attention to detail and timely accommodation of guest requests would elevate the experience further!",2025-07-13T12:32:54.050690927Z,a month ago
che001,che001_r2,Kedar Pandit,5,"Room was comfortable and sufficiently spacious. The hotel has a Chola style architecture and sculptures on the inside - really good ambience. The hotel provided complimentary banana chips made in coconut oil which were really nice. Service was excellent. Swimming pool and gym facilities were well kept.
Was here for an office event. Food services were decent, beverages were really good.
Overall, it was a pleasant stay.",2025-08-22T18:31:31.990010002Z,2 weeks ago
che001,che001_r3,Addagulla saikumar,5,"My stay at ITC Grand Chola in Chennai was an exceptional experience, marked by luxury, comfort, and world-class hospitality. The rooms were truly opulent spacious, elegantly designed, and equipped with every modern amenity one could ask for. From the plush bedding to the high-tech in-room controls, every detail reflected attention to luxury and convenience. The blend of traditional South Indian architecture with contemporary touches made the space feel both grand and welcoming.

One of the absolute highlights of my stay was the food. Every meal was a culinary delight. The variety and richness of flavors across their multiple in-house restaurants were simply outstanding. Whether it was the lavish South Indian breakfast spread, authentic Chettinad cuisine, or the perfectly cooked international dishes, everything was fresh, beautifully presented, and absolutely delicious. The service at the dining venues was equally impeccable warm, attentive, and knowledgeable staff who went out of their way to make sure we had the best experience.

The overall ambience of the property from the stunning lobby to the serene pool area and grand corridors exudes elegance. It’s clear that this hotel doesn’t just provide accommodation but a luxurious experience rooted in Indian hospitality.

Highly recommended for anyone visiting Chennai, whether for business or leisure.",2025-08-01T13:53:06.510332380Z,a month ago
che001,che001_r4,Ajitha Kymal,4,"Been staying here couple times a year for the past 10 odd years. Love the hotel, we always stay in the North tower, rooms are nicely laid out. The breakfast offerings are exceptional.  Sadly  noticing a deterioration in staff responsiveness and demeanor. Perhaps the hotel is now too busy, the receptionist rarely connect or have a smile. The room furnishings especially towels are not fresh looking anymore and are also threadbare.",2025-07-13T16:17:55.909011211Z,a month ago
che001,che001_r5,Sandip Kumar,5,"ITC Grand Chola, Chennai

ITC Grand Chola is a true luxury property with a grand presence. While the rooms offered comfort, the ambience felt somewhat subdued due to the dark-colored furniture and décor, which made it a bit challenging to fully relax.

On the culinary front, the experience was truly exceptional. The dining options were remarkable, and we thoroughly enjoyed the flavorful, finger-licking dishes that ITC Hotels are renowned for. Overall, a memorable stay with standout dining experiences, though the room ambience could benefit from a lighter, more relaxing touch.",2025-08-24T10:05:35.534786740Z,a week ago
che002,che002_r1,P Sekar,5,"One of a few 7 star hotels in Chennai. Located near the sea, the ambience is quiet and relaxing. Maintenance is very good and as a customer we cannot ask for more. The staff need to be given some orientation and detailing of day-to-day activities so that customers are not left searching. Special instructions should be given to staff to address the questions of customers who look ""simple"" and are not ""so informed"". Food quality of South Indian dishes is ok. Needs  improvement to meet the standards of gourmets. :) Parking is plenty and the drivers are helpful.",2025-07-18T04:01:01.840895278Z,a month ago
che002,che002_r2,PRIYA RAJSHEKAR,5,"Me and my teenage  son I have been staying at The Leela Palace Chennai for the past week, his very first visit to India and it has truly been a special and unforgettable experience for both of us.
The warmth, professionalism, and thoughtful touches throughout our stay have far exceeded our expectations. We’ve been fortunate to stay at exceptional hotels across the globe, but The Leela Chennai has genuinely redefined what service and customer experience can be.This hotel sets the bar incredibly high. From the beautifully maintained spaces to the consistently kind and attentive staff, every detail reflects a deep commitment to excellence and hospitality.
Thank you for creating a place that feels so special. We will carry this experience with us for a long time.",2025-07-17T08:40:05.821263925Z,a month ago
che002,che002_r3,Thepan Raj,5,"Truly a 5 star experience indeed. Customer experience at its finest, such a special hotel, screams class and elegance. Pool area is very pretty at night, its a classic hotel yet has a modern touch to it. Breakfast buffet and dinner buffet @ Spectra is something I enjoyed so much. I managed be a part of the South Indian special week this past Monday, enjoyed every single menu on it. Room comes with a bathtub, perfect to relax, chill and take a break from the Chennai chaos. And of course the staff that attended us was such a warm soul, Ekalaviya ( not sure if its the correct spelling.",2025-07-18T13:36:18.142002020Z,a month ago
che002,che002_r4,Sonitha Abhilash,5,"We sincerely thank Leela Place and the entire team for providing us with luxurious accommodations and exceptional service. Thanks for a pleasant swimming pool atmosphere and chemical free environment The delicious cuisines truly reflect the chefs’ commitment to delivering an authentic touch to both international and local dishes. A special round of applause goes to the polite, calm, and honest staffs who patiently addressed all our requests. Overall, my family and I had an unforgettable royal experience.",2025-08-03T04:54:22.477354552Z,a month ago
che002,che002_r5,Sushant Kolhe,5,"Went here for a team dinner. The vibes here are too good. Loved the hospitality service right from parking till the restaurant. The aesthetics I think no one needs to mention how beautiful those are. Overall a very good experience here. Must try the set menus if going for dining, the taste was superb. Good for family, friends or couples.",2025-08-04T17:07:46.780070194Z,a month ago
che003,che003_r1,CA SUNIIEL KARBHARI,5,"Staff at the reception and at the restaurant very cooperative .
Ambiance of the hotel is very very good .
Location is very convenient and not that far from the Airport and it is well connected by almost all mode of public transportation.
In the case of early departure ,we were given breakfast parcel by 7 am @ very short notice on previous evening.

Suggestion to the hotel management :

(1) To avoid any mishap ,especially to the Senior Citizen guests ,it will be better if steel bar is conveniently  fixed in the bathroom cum fresh room .
(2) As the Women  Hostel is there in front of the hotel , to maintain the privacy ,if will be better if the thick  curtains with the linings ,are fitted instead of  not that thick curtains already fitted .
Thanks",2025-08-25T10:25:02.658859764Z,a week ago
che003,che003_r2,sk moazzam hossain,5,"""Hotel Madras Grand is a perfect choice for families – clean, safe, and welcoming with excellent service and a comfortable stay.""

The staff are warm and helpful, especially the front office team who make check-in smooth and welcoming.

Excellent service – the front office staff are polite, professional, and always ready to help.

Friendly and attentive staff, with the front office team giving an especially pleasant experience.",2025-08-25T07:14:22.702756871Z,a week ago
