hotel_id,review_id,author_name,rating,text,publish_time,relative_time
hyd001,hyd001_r1,Sunita Vijay,5,"---

⭐️⭐️⭐️⭐️⭐️
We had a wonderful dining experience at Marriott. The staff is extremely humble and polite. We had ordered tofu, but it turned out a bit too spicy for us. Without any hesitation, they cancelled the dish and did not charge us for it. Such thoughtful service and customer care truly deserve appreciation. Thank you for the warmth and hospitality — we will definitely visit again!

---",2025-08-22T16:30:37.166887421Z,2 weeks ago
hyd001,hyd001_r2,Pasha Mohammad,5,"We visited Hyderabad from America and wanted to ensure our stay was comfortable while we spent time with family. As Marriott Bonvoy Reward members, we chose the Hyderabad Marriott, and it didn't disappoint. The concierge team at the Courtyard Marriott was extremely helpful in transferring us to the Marriott. The guestrooms were quite nice, and the food was excellent. Both the breakfast buffet and in-room dining were top-notch. The staff at the Okra restaurant—Madhusheee, Tamisha, Mohan, and Priyankar—took great care of us. The next time I visit Hyderabad, I will definitely return to the Marriott.",2025-07-15T21:17:11.384048719Z,a month ago
hyd001,hyd001_r3,Farhad Bin Siddique,4,"Stayed two nights here with my wife. Decent hotel with good service. The design inside is a bit dated, so could do with some renovation. Great location next to the lake, but no restaurants/cafe nearby. Overall decent stay.",2025-08-21T23:54:57.561968477Z,2 weeks ago
hyd001,hyd001_r4,Jamwant Yadav,4,"Had a wonderful stay at Hyderabad Marriott Hotel & Convention Centre. The location is excellent – right opposite Hussain Sagar Lake, offering a beautiful view and easy access to key areas of the city. The rooms are spacious, well-maintained, and comfortable.
The food at their restaurants was good. The breakfast spread was a good mix of local and other options. The staff was courteous. The property also has a grand convention centre, making it ideal for both leisure and business travelers. Would recommend for a comfortable and premium stay in Hyderabad.",2025-07-06T02:57:19.019641195Z,2 months ago
hyd001,hyd001_r5,ballista traveler,5,"I spent a few days at the Hyderabad Marriott Hotel before my flight, and it was exactly what I needed.
While the hotel is not new, the service was truly exceptional—the staff went out of their way to help, and even prepared non-spicy meals for me daily. The massage was also excellent.

I came from a larger, flashier hotel but found this one much cozier and more relaxing. The view of the lake from the lobby brought a welcome sense of calm after time in the chaos of the city. I mostly stayed in the hotel to work, and it was a perfect setting.

If you’re looking to rest and be well taken care of, I highly recommend it.",2025-06-18T09:27:14.748652662Z,2 months ago
hyd002,hyd002_r1,Philip Monteiro - RJ Foods,3,"The hotel needs renovation not from the exterior but from the interior.
The first room (516) that we got was not in the best of shape. The rooms needs loads of renovation there was leakage and mould on the walls. The washrooms needs loads serious work to be done.

We shifted our room to (516) which was a very nice room. Again serious work to be done in the washrooms.

Food was good. Staff helpful

On the whole a decent stay.",2025-08-17T06:00:52.244361965Z,2 weeks ago
hyd002,hyd002_r2,Sourabh Khatavakar,5,"It was an amazing experience , the hotel itself is beautiful and refined, the location is very convenient, you can access to the city very quickly, it has a delicious restaurant which serves Indian food of course, we tried few of the dishes and I can say the taste of them was very nice; in the evening they have a due performing traditional songs, you can enjoy this while having dinner, believe me it is magical when you come from another country get to see this.

The staff were friendly and helpful, the atmosphere was welcoming, our staying was exceptional, we were there for four nights and we couldn’t be more satisfied with our choice.
Without any doubt we highly recommend the Castle, everything was JUST PERFECT!!, from the entrance to the comfort of the room, we will come back.",2025-07-22T14:06:45.976111509Z,a month ago
hyd002,hyd002_r3,saran drk,1,"Absolutely Horrible Stay – Feels Like a Haunted Dungeon

I don’t usually leave reviews, but I feel morally obligated to warn others about this place. Staying at Amrutha Castle was hands down one of the most disgusting, disappointing, and creepy hotel experiences I’ve ever had in my life.

From the second you step in, the place gives off the most depressing, haunted-house energy.

Basic amenities? Forget about it.

No water bottle in the room.

No kettle.

No door mat.

NO exhaust fan in the bathroom (get ready to bathe in a steam chamber).

No shower or rinse area near the swimming pool—because apparently hygiene is optional here.

The management? A joke. Completely clueless, unprofessional, and seem to operate in their own world of apathy. It’s almost like they enjoy watching guests suffer. Zero sense of hospitality.

Honestly, the whole place reeks of negligence. It’s the kind of hotel that makes you want to shower twice after checking out—once to wash off the filth, and once to wash off the regret of booking it in the first place.

This stay wasn’t just bad. It was a waste of money, time, and sanity. If you’re even thinking about staying here, DON’T. Save your money and your soul. You’ve been warned.",2025-06-08T13:56:04.460625Z,2 months ago
hyd002,hyd002_r4,Sai Krishna Vamsi Madireddi,1,"This place is an absolute disaster. I booked a stay here last month expecting a decent experience, but what I got was a dirty, neglected, and poorly maintained hotel that shouldn't be in business.

The room was filthy, with mold on the walls, stains on the furniture, and a patched-up sofa that was falling apart. The bed was unusable—springs sticking out, zero support, and downright unsafe. You could genuinely hurt your back sleeping on it.

Nothing in the room worked—the TV was dead, the landline was non-functional, and there was no drinking water or kettle provided. The bathroom was even worse—no dry area, no mat, no exhaust fan, and everything looked like it hadn’t been cleaned properly in months.

The staff were rude and unhelpful. They had no clue what was going on and weren’t interested in helping either. I asked for plates to eat food I ordered from outside and was told flat out: “We don’t give plates unless you order from our kitchen.” Who does that in the hospitality business?

The first room they gave me on the second floor looked like something from a medieval prison. I’ve honestly never seen anything like it in a hotel.

This is supposed to be part of the Country Club network, and as a long-time member, I’m shocked and disappointed. The quality has hit rock bottom.

Do yourself a favor—don’t book here. This place will ruin your holiday. There are far better hotels in the same price range nearby. Avoid this dump completely.",2025-07-30T15:17:17.298032674Z,a month ago
hyd002,hyd002_r5,Alekhya Kurella,1,"I had one of the worst experiences of my life staying at Amrutha Castle. I checked in last month, and what I encountered was nothing short of a nightmare.

The room was in a terrible condition—dirty, moldy, stained, and filled with patched-up furniture that looked like it belonged in a junkyard. The sofa was torn, and the bed springs were broken, posing a real risk of injury (seriously, it felt dangerous for the spine). The landline didn’t work, and neither did the TV.

The bathroom was a horror show. No separate shower area, no dry area, no floor mat, no exhaust fan, and not even basic amenities like a kettle or drinking water. Everything looked old, neglected, and unhygienic.

The staff? That’s another disaster. Completely unprofessional, unresponsive, and downright rude. I was shocked when they refused to provide plates for outside food, saying: “We only give plates if you order food from us. Bye.” That’s the level of service.

Initially, I was given a room on the second floor—it honestly felt like a prison cell from Game of Thrones. (You can check the photos online—it’s unbelievable that this place calls itself a hotel, let alone part of the Country Club.)

I’ve been a Country Club member for 10 years, and this is by far the worst experience I’ve ever had with the vacation club. It’s embarrassing that this property is even affiliated with them.

If you care about your health, hygiene, and peace of mind—do not bring your family or friends here. This is not a hotel, it’s a dungeon masquerading as one. Stay far away.",2025-07-30T15:09:08.723892134Z,a month ago
