hotel_id,review_id,author_name,rating,text,publish_time,relative_time
luc001,luc001_r1,sushil kumar,1,"Not Worth the Price – Disappointed by Service Despite Good Rooms

I stayed recently at Hilton Garden Inn, Lucknow, and while the cleanliness and room quality were quite good, these basics are expected at any decent hotel—especially when you’re paying premium rates for a 4-5 star property.

Unfortunately, the overall service was disappointing:

Room service was very poor. Whether it was a simple request like a Band-Aid or anything else, nothing came without repeated calls.

One evening it was raining heavily and no Ola/Uber was available. I was just 850 meters away and requested the hotel to help with a pickup. They refused, giving excuses, which was surprising for a brand like Hilton.

During dining, the staff seemed more focused on reminding guests to pay the bill rather than offering a warm dining experience. At least four staff members came, one after the other, just to remind me to settle the bill. No one even asked how the food was.

At check-out, I politely asked if I could go back to the room for a quick change of clothes, or if they could provide a small space. The response was a blunt “you can use the restroom, no other place will be allowed.” Not something you'd expect from a hospitality-first brand.

While the property itself is well-maintained, the staff attitude and service levels need serious improvement. I truly hope the management addresses these issues so future guests have a better experience.",2025-08-03T17:15:13.484082538Z,a month ago
luc001,luc001_r2,anjali pandey,5,"I had a wonderful stay at the hotel. The staff was extremely polite, attentive, and always ready to help with a smile. They ensured that every detail was taken care of, making my experience comfortable and pleasant. Their professionalism and warm hospitality truly made me feel at home.

I would like to especially appreciate SALMAN from the laundry service. He was very courteous, prompt, and handled my requests with great care. The clothes were returned fresh, neatly done, and on time. His dedication and friendly attitude deserve special recognition.",2025-08-11T17:02:52.489506129Z,3 weeks ago
luc001,luc001_r3,Gaurav Shukla,5,"Google review summary
4.3
7,590 reviews
5	★
4	★
3	★
2	★
1	★
Reviews on other travel sites

Trip.com
4.3/5 · 70 reviews

Tripadvisor
4.8/5 · 1,917 reviews
Reviews
Search reviews

ravi2006u
4/5
a week ago on  Tripadvisor
Stayed there for one night.They upgraded me to junior suite. Even allowed me late check out. All amenities present in the room. Good hotel. Great staff. Clean. Breakfast spread is good. Can be better in terms of food taste.

Dipika ji Siraj chef
Siddharth ji sumit ji
Vikram ji
And all  FNB Department very helpful.",2025-06-02T16:08:42.775488Z,3 months ago
luc001,luc001_r4,Madhusankha Perera,5,"Highly Recommended Stay at Hilton Garden Inn Hotel, Lucknow!
I had a really great time at the Hilton Hotel in Lucknow. The rooms were spacious, clean, and very well-maintained. The beds were extremely comfortable, making it easy to relax and unwind.
The food was absolutely delicious with a wide variety of options to choose from — something for every taste!

Overall, I highly recommend this hotel for anyone visiting Lucknow. Excellent service, great comfort, and an amazing experience!",2025-08-05T18:09:20.246282682Z,a month ago
luc001,luc001_r5,My Mentor,1,"Food Quality and Service:

The overall quality of the food was subpar. Many attendees tasted the food but left their plates unfinished. Notably, chapatis were not served, and soup was unavailable. The excessive use of garlic in the dishes was also a common complaint among guests.

The food service appeared disorganized, giving the impression that it was complimentary rather than part of a paid event.

Service Staff Availability:

There was a noticeable lack of service staff attending to our VIP guests. Despite prior requests, no one approached them to offer tea, coffee, or other refreshments. We had to assign our own staff to ensure our guests were attended to appropriately.

Lack of Banquet Infrastructure:
Normally when we do our events at Taj, Lucknow, there is no dearth of front row sofas there. We had to struggle to find 6 wooden chairs at max, around 10 am, after the start of our program, to be placed for our special guests. When hotels like your offer such experience and availability of paraphernalia, it seems like a waste of money and trust bestowed.

This experience was disappointing.

From an unhappy client, best regards:",2025-08-26T07:36:02.033367962Z,a week ago
luc002,luc002_r1,Mr Alamin,5,"Excellent location and room service fO staff shivam is very great and kind heart person. They provide us medicine in late night.
Excellent location and room service fO staff shivam is very great",2025-05-19T16:49:27.702653Z,3 months ago
luc002,luc002_r2,Parth Agrawal,4,"The bed was comfortable to sleep in and overall the room was good and other than that the staff was very nice especially the one person at the reception. We came to the hotel late at night around 12 or 1 and that person took us on his bike to a medical shop as we needed a headache medicine, so yeah overall stay was good and I couldn't catch his name but if he'll read this comment then he'll know about us.
Kindly make sure the main head at the reception reads this comment. Room-104",2023-11-03T16:08:06.626320Z,a year ago
luc002,luc002_r3,Manish Kumar Mandal,5,"Very good hotel with reasonable fare in Lucknow. Rooms are spacious and furnished with all things which requires a travel during stay at Hotel.
Excellent service provided by all service staffs,specially Mr. Luvkush, he talks with smile with positive energy.",2024-01-20T12:56:34.245061Z,a year ago
luc002,luc002_r4,Sarvesh Kumar Tiwari,5,I have stayed at dozen of hotels due to my business trips. This was on the top of the list of best stays. Staff was very hospitable and Mr. Lavkush was really very good at his job. Rooms were clean and food was good .Thank you so much.,2023-08-18T15:22:05.446680Z,2 years ago
luc002,luc002_r5,Dr. Ramakant Rana,4,"Fine place to stay. There is a lot of scope of improvement. For example please add one more lift. As when hotel gets fully filled it becomes really tiring to wait for the lift. The food i.e. breakfast was good. The taste, quantity and quality all was good.",2022-12-04T12:22:46.201210Z,2 years ago
luc003,luc003_r1,Nipun Kakkar,5,"✅ Warm and professional staff – very welcoming from check-in to check-out.

🛏️ Rooms are spacious, clean, and well-maintained with modern amenities.

🍽️ Excellent dining options with a wide variety of dishes and great taste.

🏊‍♂️ Facilities like pool, gym, and spa are well-kept and add to the comfort.

📍 Convenient location with good connectivity, making travel easy.",2025-08-24T17:04:57.433675414Z,a week ago
luc003,luc003_r2,in hashify,5,"I had an amazing experience at this hotel! The staff were incredibly friendly and welcoming from the moment I arrived. My room was spotless, modern, and had a beautiful view of the city. The bed was super comfortable and I slept like a baby. Breakfast was included and had a great variety—fresh fruit, pastries, and hot items. The location was perfect, walking distance to shops and restaurants. I’ll definitely be staying here again on my next visit!",2025-06-07T11:50:06.748763Z,3 months ago
luc003,luc003_r3,Seraj Ahmad,5,"We recently stayed at the for three nights and had an absolutely wonderful experience. The location was perfect. Our room was impeccably clean and comfortable, with a lovely view. The staff were incredibly friendly and helpful, especially at the front desk. They were always willing to assist with any questions or requests. We also enjoyed the pool, restaurant, gym and found it to be a great place to relax. Overall, we highly recommend for its cleanliness, excellent service, and convenient location.""",2025-06-04T10:57:43.274359Z,3 months ago
luc003,luc003_r4,Nikhil,5,"Our family had a wonderful time here! The kids loved the pool and play area, and the family suite was spacious and well-equipped. The staff went out of their way to make us feel welcome, even providing coloring books for the little ones. It felt like a home away from home.”",2025-05-29T12:37:36.108185Z,3 months ago
luc003,luc003_r5,Dr Jaswinder Kaur Arora,2,"We stayed at this hotel for 2 nights and, unfortunately, it fell short of expectations. Despite being advertised as a 5-star property, it felt more like a 3-star hotel in almost every aspect. The rooms were quite small, and the amenities were minimal. The TV didn’t have a cable connection throughout our stay, despite multiple requests to fix it. Breakfast was very average with limited variety and taste.

Overall, the experience was underwhelming, and you can easily find a similar or better experience at a good 3-star hotel, likely at a lower price. Would not recommend if you’re expecting true 5-star standards.",2025-06-09T12:27:18.546779732Z,3 months ago
luc004,luc004_r1,priya singh,5,"I had a wonderful dinner experience at this restaurant! The food was absolutely delicious  every dish was fresh, flavorful, and beautifully presented. But what made the evening truly special was the excellent service.
A big thank you to Anandi and Sujal for making us feel so comfortable and well taken care of. They were attentive, polite, and always served with a smile, which added a personal touch to the whole experience. Their recommendations were spot on, and they made sure everything was perfect throughout our dinner.",2025-08-21T17:20:33.332112886Z,2 weeks ago
luc004,luc004_r2,Sharil Khanna,4,"As a 5 star hotel, it has good basic amenities. Hotel is good, clean, well maintained, food is good. Room for improvement is there in its rooms. Rooms may get more modern. And one thing more, housekeeping staff comes very late after calling. These r the areas of improvement",2025-08-30T10:50:26.149200912Z,a week ago
luc004,luc004_r3,Subodh Verma,5,"Warm and Welcoming Staff: Guests consistently highlight the friendliness and helpful attitude of the staff across all departments, from reception to housekeeping and restaurant service. Many specifically mention staff going the extra mile to ensure a seamless experience, with names like Himanshu Singh and Priyanka praised for their professionalism and care.

Spotless & Comfortable Rooms: The rooms are often described as immaculate, spacious, and comfortable. Housekeeping is prompt and maintains high standards of hygiene, making the rooms feel inviting and well-kept.

Excellent Food & Breakfast: Travelers love the food quality, especially the extensive breakfast buffet that offers both Indian and western cuisine. Many guests point out the delicious variety, while also appreciating the attentive service in the hotel's restaurants.

Prime Location: Hyatt Regency is situated in Gomti Nagar, one of Lucknow's best areas for accessing business, government offices, and leisure spots. The location is often cited as convenient and close to major city attractions.

Exceptional Hospitality: The overall experience at Hyatt Regency Lucknow earns frequent praise. Many note smooth check-in, warm greetings, and thoughtful touches such as packed breakfasts for guests with early departures. Multiple guests say the hotel's standards match those of Hyatt properties worldwide.

Modern Amenities & Facilities: The property is described as well-appointed with comprehensive amenities, including a well-maintained pool, fitness center, and event spaces. Guests enjoy the ambiance and overall atmosphere, describing it as both inviting and peaceful.

Value for Money: Though some reviewers note the hotel is on the pricier side, they generally feel it is justified by the level of comfort, service, and quality provided.

Repeat Visits and Recommendations: Many travelers express their intention to return and recommend the hotel to others, noting that their experiences have been consistently positive across multiple stays.

In conclusion, Hyatt Regency Lucknow is highly recommended for its exceptional staff, spotless and comfortable rooms, delicious food, and prime location, making it a favorite for both business and leisure travelers to the city",2025-08-19T06:13:24.484834958Z,2 weeks ago
luc004,luc004_r4,akanksha shipra,5,"It’s a reliable upscale choice for business or leisure, offering comfort, cleanliness, and a quality dinner. From the warm hospitality to the delicious food and clean, luxurious rooms everything was top-notch.
The staff was extremely courteous and helpful throughout. The ambience is classy yet cozy, perfect for both business and leisure stays. 🛎️
Loved the rooftop pool, spa, and the breakfast spread was a highlight. Highly recommend for a relaxing and premium experience in the heart of Lucknow. 💫",2025-06-23T06:58:28.823481162Z,2 months ago
luc004,luc004_r5,Srutee Jha,5,"I was pleasantly surprised by the value for money at the hotel restaurant. The prices were reasonable, and the portions were generous. The food was delicious, with a wide variety of options to suit every taste. The service was friendly and efficient, and the ambiance was modern and chic. Overall, I would highly recommend this restaurant to anyone looking for a great dining",2025-07-22T05:25:18.976710668Z,a month ago
luc005,luc005_r1,Zarina Atif,3,"I had high expectations from the Independence Day lunch buffet at Renaissance, especially given the premium pricing of ₹2000 per person. Unfortunately, the experience was quite disappointing.

The buffet lacked both variety and taste. The spread felt very ordinary, with nothing that stood out or justified the festive occasion. For such a reputed property, I was expecting more creativity, better flavors, and at least some signature dishes, but the food was bland and repetitive.

On the positive side, the ambience and service were decent, but ac was not working and when you go for a buffet, the food should be the highlight—and here it clearly wasn’t. Overall, not worth the price charged.",2025-08-19T06:21:47.283014545Z,2 weeks ago
luc005,luc005_r2,Malik Sahab,5,"I stayed at Renaissance Lucknow after two years and it felt just like coming home again. The staff is warm and welcoming and they make sure every guest feels special. The front desk team was helpful and made the check-in smooth and quick.

The room was clean spacious and had a beautiful view of the city. The food was delicious and the entire atmosphere of the hotel was calm and relaxing. Every part of my stay was handled with care and professionalism.

A big thank you to the team for such a wonderful experience. I highly recommend this hotel to anyone visiting Lucknow. I will definitely be coming back.",2025-08-06T17:19:15.217799723Z,a month ago
luc005,luc005_r3,Mohammad Al Thuwaib,1,"I had a very disappointing stay at this hotel. The service overall was terrible. Room service was especially bad—slow, unprofessional, and the food quality was awful. While I could see that the employees were trying their best, it’s obvious that poor management is dragging everything down.

We experienced multiple power outages during our stay, and not once did we receive a call or any explanation from the staff. No communication, no updates—just complete silence.

This place is a mess. From the disorganized service to the lack of basic customer care, it’s clear that management is not doing their job. Save your money and avoid this hotel. I absolutely do not recommend staying here.",2025-05-22T16:26:48.902941Z,3 months ago
luc005,luc005_r4,Rahul,5,One of the best hotels with a great sky view of lucknow city and the ambedkar park. The rooms was well maintained and the service was great. The open sky deck pool gives a beautiful view.,2025-08-26T07:27:22.641209318Z,a week ago
luc005,luc005_r5,Harsh Bajpai,5,"Visited Renaissance Lucknow to attend Inder Sahani’s comedy show, and I must say — what an experience! From the moment I stepped in, everything felt top-notch. The arrangements were flawless, the ambiance was classy, and the hospitality was truly unmatched.

The staff was extremely humble and polite, making us feel welcomed throughout. Parking was smooth and well-managed, which added to the comfort.

Truly deserves the title of No.1 hotel in Lucknow. Highly recommended! 👏✨",2025-07-31T13:20:32.789005515Z,a month ago
luc006,luc006_r1,S.K. Dubey,1,"Dear Hotel Holiday Inn Team,

I am writing to share my recent experiences at your hotel, which have raised concerns about the food safety and hygiene standards. On August 12th, around 22:35, I dined at your evening buffet and was served Chicken Malai. Unfortunately, upon inspecting the dish, I found a hair in it. I immediately brought this to the attention of the Floor Chef and Duty Manager, who took the issue seriously and apologized for the inconvenience.

The Chef and Duty Manager offered to replace the dish, but given the nature of the issue, I decided not to continue with my meal. As a guest, it's unsettling to encounter such an incident, and it raises questions about the quality control measures in place.

Furthermore, I had a similar experience the previous day when I requested your floor team to send some fresh dishes from the buffet to my room as I returned late from a site visit. To my surprise, I received leftover food from the buffet, which was not what I had requested. This incident not only raised concerns about food handling but also made me question whether the hotel was prioritizing cost savings over serving fresh food to guests.

While I appreciate the prompt response from the Chef and Duty Manager regarding the hair incident, these experiences collectively raise concerns about the overall food safety and hygiene standards at your hotel. I understand that mistakes can happen, but I hope you'll take this feedback constructively and review your quality control processes to ensure the highest standards of food safety and hygiene.

I hope that you will take my feedback seriously and take necessary actions to address these concerns. I look forward to hearing from you and seeing improvements in your Service.",2025-08-13T08:02:34.859769335Z,3 weeks ago
luc006,luc006_r2,Rakesh Sharma,5,"My experience at the Moroccan Spa in Holiday Inn was absolutely relaxing. From the moment I walked in, the soothing music and gentle fragrance set the perfect mood. The staff were professional and polite, making sure I felt comfortable at every step. The massage pressure was just right, and the traditional Moroccan techniques melted away all my stress. The spa’s management is very professional and gives a true sense of luxury. Definitely a must-visit if you want to pamper yourself",2025-08-15T10:26:47.345224235Z,3 weeks ago
